@params:Amount|Frequency|Invert|LFO Type|Offset|Phase|Shape|Spin|Stereo Mode|Sync Rate|Waveform|Width (Random)
1to4 Note Contenders:0.637795090675|0.399668574333|0.0|1.0|0.0|180.0|1.0|0.0|0.0|9.0|0.0|0.5
90 Degrees:0.393700689077|0.20472446084|0.0|1.0|0.0|90.0|1.0|0.0|0.0|9.0|1.0|0.5
Around The Head:0.803149461746|0.399668574333|0.0|0.0|0.0|267.87399292|0.433070778847|0.0|0.0|4.0|1.0|0.5
Auto Pan:1.0|0.399668574333|0.0|1.0|360.0|0.0|1.0|0.0|0.0|21.0|2.0|0.0
Auto Pan:1.0|0.399668574333|0.0|1.0|360.0|0.0|1.0|0.0|0.0|21.0|2.0|0.0
Chopper:0.732283353806|0.698881149292|1.0|1.0|0.0|180.0|1.0|0.0|0.0|4.0|2.0|0.5
Copycat:0.779527425766|0.399668574333|0.0|1.0|184.251922607|283.464508057|0.755905628204|0.0|0.0|13.0|0.0|0.5
Dizziness:0.660000026226|0.698881149292|0.0|1.0|0.0|70.8661422729|1.0|0.0|0.0|8.0|0.0|0.5
Pan-Asia:0.28346452117|0.43307107687|0.0|1.0|0.0|178.58265686|1.0|0.0|0.0|4.0|2.0|0.5
Sharing:0.566928982735|0.519684970379|0.0|1.0|255.118026733|96.3779449463|0.354330956936|0.0|0.0|4.0|0.0|0.5
Shredder:1.0|1.0|0.0|0.0|0.0|180.0|0.795275568962|0.5|1.0|4.0|3.0|0.0
Slow & Steady:0.496063053608|0.399668574333|0.0|1.0|0.0|284.881866455|0.0|0.0|0.0|12.0|0.0|0.5
Subtle Stereo:0.330000013113|0.220472440124|0.0|0.0|0.0|180.0|0.0|0.0|0.0|4.0|0.0|0.5
Suitcase Auto Pan:0.642857134342|0.388888895512|0.0|0.0|0.0|180.0|0.603174626827|0.0|0.0|4.0|0.0|0.5
