@params:Block Triplets|Chance|Decay|Filter Freq|Filter On|Filter Width|Gate|Grid|Interval|Mix Type|Offset|Pitch|Pitch Decay|Repeat|Variation|Variation Type|Volume
Airpusher:1.0|0.700787425041|0.0|0.738636434078|1.0|4.484375|8.0|7.0|2.0|1.0|0.0|12.0|0.637795269489|0.0|3.0|2.0|0.850000023842
Brain Dance:0.0|1.0|0.25|0.681818187237|1.0|6.34375|4.0|3.0|3.0|0.0|4.0|4.0|1.0|0.0|8.0|0.0|0.622047245502
Chopping Block:1.0|1.0|0.708661437035|0.715909063816|1.0|6.875|7.0|7.0|3.0|1.0|0.0|12.0|0.637795269489|0.0|7.0|0.0|0.850000023842
Deconstruct:0.0|0.165354326367|0.0|0.681818187237|1.0|6.078125|14.0|3.0|1.0|1.0|0.0|12.0|0.0|0.0|3.0|4.0|0.999999940395
Fill In The Gaps:1.0|1.0|0.708661437035|0.556818187237|1.0|2.625|18.0|8.0|3.0|0.0|0.0|0.0|0.913385808468|0.0|4.0|1.0|0.850000023842
Insect:0.0|1.0|0.0|0.693181812763|1.0|4.75|17.0|0.0|3.0|0.0|0.0|0.0|0.078740157187|0.0|0.0|4.0|0.924942433834
Microfillz:1.0|0.645669281483|0.354330718517|0.508949935436|1.0|4.0|2.0|7.0|4.0|0.0|2.0|0.0|0.0472440943122|0.0|8.0|4.0|0.889763772488
Repeight:0.0|0.409448832273|0.0|0.738636434078|1.0|4.75|3.0|9.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.834645688534
Robo Voice:0.0|1.0|0.0|0.693181812763|1.0|6.078125|0.0|0.0|0.0|1.0|0.0|5.0|0.0|0.0|0.0|4.0|0.937007844448
Semisubtle:0.0|1.0|0.25|0.508949935436|1.0|4.0|6.0|9.0|5.0|0.0|8.0|0.0|0.188976377249|0.0|3.0|4.0|0.913385808468
Slap Back:1.0|1.0|0.708661437035|0.772727251053|1.0|4.21875|9.0|5.0|2.0|0.0|0.0|5.0|0.275590538979|0.0|3.0|1.0|0.850000023842
Squishy:1.0|1.0|0.464566916227|0.647727251053|1.0|2.625|2.0|0.0|1.0|0.0|4.0|0.0|1.0|0.0|2.0|1.0|0.953125
Vocal Fun:1.0|0.803149580956|0.354330718517|0.508949935436|1.0|4.0|3.0|5.0|4.0|1.0|2.0|0.0|0.0314960628748|0.0|9.0|4.0|0.96875
