@params:Attack|Auto Release On/Off|Dry/Wet|Env Mode|Expansion Ratio|Knee|LookAhead|Makeup|Model|Output Gain|Ratio|Release|S/C EQ Freq|S/C EQ Gain|S/C EQ On|S/C EQ Q|S/C EQ Type|S/C Gain|S/C Listen|S/C Mix|S/C On|Threshold
Acoustic Kick Compressor:0.695424258709|0.0|1.0|1.0|1.14999997616|0.421875|1.0|0.0|0.0|3.0|0.75|0.292972654104|0.528338193893|0.0|0.0|0.408567070961|4.0|0.40000000596|0.0|1.0|1.0|0.4765625
Acoustic:0.650793671608|0.0|1.0|1.0|1.14999997616|7.734375|1.0|1.0|0.0|0.0|0.5546875|0.376376211643|0.309523820877|6.66666650772|1.0|0.515873014927|0.0|0.40000000596|0.0|1.0|1.0|0.411381721497
Brick Wall:0.0396825373173|0.0|1.0|1.0|1.14999997616|0.984375|1.0|1.0|0.0|-0.5|1.0|0.271304905415|0.528338134289|0.0|0.0|0.408567070961|4.0|0.40000000596|0.0|1.0|1.0|0.60756444931
Brute Compression:0.0|0.0|1.0|1.0|1.14999997616|0.0|1.0|1.0|0.0|0.0|0.920634925365|0.0873015895486|0.528338193893|0.0|0.0|0.408567070961|4.0|0.40000000596|0.0|1.0|1.0|0.220944464207
Classical Compression:0.26984128356|0.0|1.0|1.0|1.14999997616|6.046875|1.0|1.0|0.0|0.0|0.132812514901|0.271304905415|0.528338193893|0.0|0.0|0.408567070961|4.0|0.40000000596|0.0|1.0|1.0|0.60756444931
De-esser:0.0714285746217|0.0|1.0|1.0|1.14999997616|6.046875|1.0|0.0|0.0|0.0|0.666666686535|0.271304905415|0.852558553219|0.0|1.0|0.71043407917|1.0|0.40000000596|0.0|1.0|1.0|0.46875
Flattenator:0.0|0.0|1.0|1.0|1.14999997616|0.0|2.0|1.0|0.0|12.0|1.0|0.275180995464|0.841269850731|-15.0|0.0|0.142857149243|3.0|0.40000000596|0.0|1.0|1.0|0.0111304912716
Generic Compressor:0.600000023842|0.0|1.0|1.0|1.14999997616|0.703125|1.0|1.0|0.0|0.0|0.5|0.271304905415|0.528338193893|0.0|0.0|0.408567070961|4.0|0.40000000596|0.0|1.0|1.0|0.336661458015
Gentle Squeeze:0.40000000596|0.0|1.0|1.0|1.14999997616|12.234375|1.0|1.0|1.0|0.0|0.333333343267|0.271304905415|0.528338134289|0.0|0.0|0.408567070961|4.0|0.40000000596|0.0|1.0|1.0|0.336661458015
Gentle-Kneeless:0.142857149243|0.0|1.0|1.0|1.14999997616|18.0|1.0|1.0|1.0|0.0|0.132812514901|0.271304905415|0.528338193893|0.0|0.0|0.408567070961|4.0|0.40000000596|0.0|1.0|1.0|0.427771300077
Kick Reducer:0.600000023842|0.0|1.0|1.0|1.14999997616|0.0|2.0|0.0|0.0|0.0|1.0|0.271304905415|0.216221958399|0.0|1.0|0.690476179123|3.0|0.40000000596|0.0|1.0|1.0|0.403669714928
Loud-Kneeless:0.142857149243|0.0|1.0|1.0|1.14999997616|17.578125|1.0|1.0|0.0|0.0|0.5390625|0.271304905415|0.528338193893|0.0|0.0|0.408567070961|4.0|0.40000000596|0.0|1.0|1.0|0.427771300077
Mildly Aggresive:0.682539701462|0.0|1.0|1.0|1.14999997616|4.0|1.0|1.0|0.0|-8.25688076019|0.75|0.271304905415|0.412698417902|5.0|1.0|0.408567070961|1.0|0.40000000596|0.0|1.0|1.0|0.318230569363
Mix Gel:0.619047641754|0.0|1.0|1.0|1.14999997616|12.0|1.0|0.0|1.0|4.0|0.166666701436|0.67509663105|0.301587313414|4.0|1.0|0.408567070961|0.0|0.40000000596|0.0|1.0|1.0|0.327205836773
Precise:0.388888895512|0.0|1.0|1.0|1.14999997616|6.0|0.0|1.0|0.0|0.0|0.351562470198|0.271304905415|0.373015880585|0.0|0.0|0.29365080595|3.0|0.40000000596|0.0|1.0|1.0|0.25137335062
Soft Snare Compressor:0.495424240828|0.0|0.32421875|1.0|1.14999997616|0.0|1.0|0.0|0.0|3.79999923706|0.7890625|0.321348041296|0.528338193893|0.0|0.0|0.408567070961|4.0|0.40000000596|0.0|1.0|1.0|0.375
